135,1397,2,1,1,1,1,11500000000,85185000,https://divar.ir/v/AZvNSzIl
164,1399,3,5,1,1,1,21300000000,129878000,https://divar.ir/v/AZvNCw8C
63,1385,1,4,0,0,1,3720000000,59047000,https://divar.ir/v/AZvJCq1Z
75,1382,2,3,0,1,1,5500000000,73333000,https://divar.ir/v/AZvJSOKY
150,1388,3,5,1,1,1,13500000000,90000000,https://divar.ir/v/AZvBi-tY
47,1380,1,2,0,0,1,3700000000,78723000,https://divar.ir/v/AZvBCHrM
132,1400,3,6,1,1,1,17820000000,135000000,https://divar.ir/v/AZkF_rxM
145,1402,3,3,1,1,1,18000000000,124137000,https://divar.ir/v/AZk1tF2D
116,1401,3,3,1,1,1,13400000000,115517000,https://divar.ir/v/AZv9Rkbm
175,1391,3,3,1,1,1,19500000000,111428000,https://divar.ir/v/AZv9hOf2
124,1401,2,2,1,1,1,11000000000,88709000,https://divar.ir/v/AZvxBRBB
87,1378,2,2,0,1,1,6900000000,79310000,https://divar.ir/v/AZsl9Lqy
50,1381,1,3,1,1,0,4000000000,80000000,https://divar.ir/v/AZp9t23z
135,1398,2,1,1,1,1,11500000000,85185000,https://divar.ir/v/AZv5xV36
63,1384,1,1,0,1,1,4500000000,71428000,https://divar.ir/v/AZv5hG0B
150,1402,3,6,1,1,1,18370000000,122466000,https://divar.ir/v/AZbdUTep
100,1396,2,2,1,1,1,7700000000,77000000,https://divar.ir/v/AZvtxKvt
104,1392,2,5,1,1,0,8400000000,80769000,https://divar.ir/v/AZotadBX
100,1389,2,3,1,1,1,11500000000,115000000,https://divar.ir/v/AZvZhY6j
138,1383,3,1,0,1,1,13900000000,100724000,https://divar.ir/v/AZvRxzRh
87,1398,2,4,1,1,1,7500000000,86206000,https://divar.ir/v/AZvRRujC
102,1383,2,1,1,1,1,8500000000,83333000,https://divar.ir/v/AZrJ5Gk-
58,1385,1,2,1,1,1,4700000000,81034000,https://divar.ir/v/AZoB9rE2
65,1385,2,3,0,1,1,4800000000,73846000,https://divar.ir/v/AZvNxcZu
41,1393,1,1,0,1,0,3390000000,82682000,https://divar.ir/v/AZvNxZxA
66,1379,2,1,0,1,1,4450000000,67424000,https://divar.ir/v/AZvNBX8C
